TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.select.NodeTraversor,BRANCH,0.711864406779661,59,42
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.Collector,BRANCH,1.0,15,15
org.jsoup.select.Selector,BRANCH,1.0,18,18
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,50,50
org.jsoup.select.Evaluator,BRANCH,0.9710144927536232,207,201
org.jsoup.select.Elements,BRANCH,0.9922480620155039,129,128
org.jsoup.select.QueryParser,BRANCH,0.7345679012345679,162,119
org.jsoup.nodes.NodeUtils,BRANCH,1.0,8,8
org.jsoup.nodes.TextNode,BRANCH,0.9347826086956522,46,43
org.jsoup.nodes.DocumentType,BRANCH,1.0,28,28
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.FormElement,BRANCH,0.4864864864864865,37,18
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.Node,BRANCH,0.9090909090909091,154,141
org.jsoup.nodes.Attributes,BRANCH,0.8936170212765957,141,126
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.Comment,BRANCH,0.9642857142857143,28,27
org.jsoup.nodes.Document,BRANCH,0.8865979381443299,97,86
org.jsoup.nodes.Entities,BRANCH,0.7346938775510204,98,72
org.jsoup.nodes.Attribute,BRANCH,0.9452054794520548,73,69
org.jsoup.nodes.LeafNode,BRANCH,1.0,28,28
org.jsoup.nodes.Element,BRANCH,0.8467741935483871,372,314
org.jsoup.nodes.CDataNode,BRANCH,1.0,6,6
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,17,17
org.jsoup.safety.Safelist,BRANCH,0.7628205128205128,156,119
org.jsoup.safety.Whitelist,BRANCH,1.0,19,19
org.jsoup.safety.Cleaner,BRANCH,0.8,35,28
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.571753986332574,439,251
org.jsoup.parser.Tokeniser,BRANCH,0.7355371900826446,121,89
org.jsoup.parser.Tag,BRANCH,0.8769230769230769,65,57
org.jsoup.parser.ParseErrorList,BRANCH,1.0,7,7
org.jsoup.parser.Token,BRANCH,0.990909090909091,110,109
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.86,50,43
org.jsoup.parser.CharacterReader,BRANCH,0.9242902208201893,317,293
org.jsoup.parser.ParseError,BRANCH,1.0,8,8
org.jsoup.parser.TokenQueue,BRANCH,0.986013986013986,143,140
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,8.025682182985554E-4,1246,1
org.jsoup.parser.Parser,BRANCH,1.0,26,26
org.jsoup.parser.TreeBuilder,BRANCH,0.84,25,21
org.jsoup.parser.TokeniserState,BRANCH,0.0,835,0
org.jsoup.parser.ParseSettings,BRANCH,1.0,13,12
org.jsoup.HttpStatusException,BRANCH,1.0,3,3
org.jsoup.Jsoup,BRANCH,0.8181818181818182,22,18
org.jsoup.internal.Normalizer,BRANCH,1.0,6,6
org.jsoup.internal.StringUtil,BRANCH,0.9696969696969697,99,95
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.8,40,32
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.helper.CookieUtil,BRANCH,0.5714285714285714,21,12
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.helper.W3CDom,BRANCH,0.782608695652174,69,54
org.jsoup.helper.DataUtil,BRANCH,0.3949579831932773,119,47
org.jsoup.helper.Validate,BRANCH,1.0,27,27
org.jsoup.helper.HttpConnection,BRANCH,0.6456456456456456,333,215
